Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2008,Delhi,Technology Colleges,474,343,131,187,116,71,145,111,34,142,116,26
2007,Delhi,Technology Colleges,450,338,112,176,116,60,136,107,29,138,115,23
2006,Delhi,Technology Colleges,434,327,107,161,110,51,139,104,35,134,113,21
2005,Delhi,Technology Colleges,410,304,106,155,99,56,128,99,29,127,106,21
2003,Delhi,Technology Colleges,403,286,117,162,100,62,124,95,29,117,91,26
2002,Delhi,Technology Colleges,413,299,114,158,101,57,131,104,27,124,94,30
2001,Delhi,Technology Colleges,394,304,90,147,103,44,118,95,23,129,106,23
2000,Delhi,Technology Colleges,379,296,83,140,104,36,109,92,17,130,100,30
2020,Farmingdale,Technology Colleges,"1,474",800,674,845,274,571,394,295,99,235,231,4
2019,Farmingdale,Technology Colleges,"1,515",813,702,845,272,573,420,295,125,250,246,4
2018,Farmingdale,Technology Colleges,"1,459",777,682,801,254,547,403,271,132,255,252,3
2017,Farmingdale,Technology Colleges,"1,426",731,695,793,243,550,365,249,116,268,239,29
2016,Farmingdale,Technology Colleges,"1,394",683,711,759,228,531,361,221,140,274,234,40
2015,Farmingdale,Technology Colleges,"1,375",665,710,746,220,526,353,219,134,276,226,50
2014,Farmingdale,Technology Colleges,"1,319",634,685,709,217,492,343,205,138,267,212,55
2013,Farmingdale,Technology Colleges,"1,256",608,648,689,214,475,311,189,122,256,205,51
2012,Farmingdale,Technology Colleges,"1,157",585,572,639,215,424,264,168,96,254,202,52
2011,Farmingdale,Technology Colleges,"1,113",580,533,604,207,397,226,169,57,283,204,79
2010,Farmingdale,Technology Colleges,"1,079",579,500,590,207,383,225,173,52,264,199,65
2009,Farmingdale,Technology Colleges,"1,107",597,510,610,208,402,219,168,51,278,221,57
2008,Farmingdale,Technology Colleges,"1,075",573,502,598,200,398,204,161,43,273,212,61
2007,Farmingdale,Technology Colleges,"1,012",549,463,555,197,358,201,153,48,256,199,57
2006,Farmingdale,Technology Colleges,988,540,448,526,189,337,197,149,48,265,202,63
2005,Farmingdale,Technology Colleges,943,518,425,497,178,319,188,135,53,258,205,53
2003,Farmingdale,Technology Colleges,898,514,384,468,178,290,209,147,62,221,189,32
2002,Farmingdale,Technology Colleges,838,515,323,423,179,244,196,144,52,219,192,27
2001,Farmingdale,Technology Colleges,828,529,299,392,187,205,188,134,54,248,208,40
2000,Farmingdale,Technology Colleges,777,519,258,365,190,175,173,128,45,239,201,38
2020,Maritime College,Technology Colleges,338,279,59,120,88,32,114,95,19,104,96,8
2019,Maritime College,Technology Colleges,356,284,72,133,92,41,108,88,20,115,104,11
2018,Maritime College,Technology Colleges,359,275,84,144,92,52,122,98,24,93,85,8
2017,Maritime College,Technology Colleges,374,278,96,149,92,57,128,100,28,97,86,11
2016,Maritime College,Technology Colleges,360,274,86,148,93,55,118,96,22,94,85,9
2015,Maritime College,Technology Colleges,360,265,95,148,87,61,119,91,28,93,87,6
2014,Maritime College,Technology Colleges,356,268,88,143,89,54,118,93,25,95,86,9
2013,Maritime College,Technology Colleges,349,262,87,135,85,50,123,98,25,91,79,12
2012,Maritime College,Technology Colleges,337,269,68,137,104,33,111,88,23,89,77,12
2011,Maritime College,Technology Colleges,349,265,84,139,97,42,128,100,28,82,68,14
2010,Maritime College,Technology Colleges,339,249,90,127,76,51,124,99,25,88,74,14
2009,Maritime College,Technology Colleges,349,259,90,128,73,55,135,112,23,86,74,12
2008,Maritime College,Technology Colleges,356,252,104,119,65,54,148,111,37,89,76,13
2007,Maritime College,Technology Colleges,342,241,101,113,65,48,149,108,41,80,68,12
2006,Maritime College,Technology Colleges,328,240,88,103,59,44,150,115,35,75,66,9
2005,Maritime College,Technology Colleges,248,186,62,86,50,36,90,73,17,72,63,9
2003,Maritime College,Technology Colleges,236,173,63,82,49,33,91,70,21,63,54,9
2002,Maritime College,Technology Colleges,224,171,53,76,51,25,76,63,13,72,57,15
2001,Maritime College,Technology Colleges,211,169,42,79,55,24,61,52,9,71,62,9
2000,Maritime College,Technology Colleges,202,172,30,76,56,20,52,50,2,74,66,8
2020,Morrisville,Technology Colleges,535,437,98,200,136,64,168,148,20,167,153,14
2019,Morrisville,Technology Colleges,646,478,168,245,146,99,213,165,48,188,167,21
2018,Morrisville,Technology Colleges,644,480,164,238,147,91,214,166,48,192,167,25
2017,Morrisville,Technology Colleges,651,459,192,261,145,116,198,151,47,192,163,29
2016,Morrisville,Technology Colleges,610,450,160,232,140,92,199,152,47,179,158,21
2015,Morrisville,Technology Colleges,591,440,151,237,144,93,182,140,42,172,156,16
2014,Morrisville,Technology Colleges,604,444,160,244,144,100,181,135,46,179,165,14
2013,Morrisville,Technology Colleges,611,437,174,243,146,97,178,129,49,190,162,28
2012,Morrisville,Technology Colleges,590,422,168,236,140,96,165,116,49,189,166,23
2011,Morrisville,Technology Colleges,585,416,169,244,140,104,180,118,62,161,158,3
2010,Morrisville,Technology Colleges,600,428,172,241,146,95,196,123,73,163,159,4
2009,Morrisville,Technology Colleges,624,451,173,252,152,100,196,127,69,176,172,4
2008,Morrisville,Technology Colleges,606,447,159,239,149,90,195,130,65,172,168,4
2007,Morrisville,Technology Colleges,626,446,180,258,150,108,193,125,68,175,171,4
2006,Morrisville,Technology Colleges,607,432,175,245,141,104,188,122,66,174,169,5
2005,Morrisville,Technology Colleges,592,429,163,233,137,96,174,119,55,185,173,12
2003,Morrisville,Technology Colleges,579,425,154,239,143,96,186,133,53,154,149,5
2002,Morrisville,Technology Colleges,559,421,138,219,137,82,181,129,52,159,155,4
2001,Morrisville,Technology Colleges,546,415,131,203,131,72,183,127,56,160,157,3
2000,Morrisville,Technology Colleges,441,382,59,170,122,48,121,113,8,150,147,3
2013,Utica/Rome,Technology Colleges,441,264,177,192,80,112,149,89,60,100,95,5
2012,Utica/Rome,Technology Colleges,412,254,158,186,76,110,129,86,43,97,92,5
2011,Utica/Rome,Technology Colleges,417,255,162,184,77,107,139,89,50,94,89,5
2010,Utica/Rome,Technology Colleges,391,248,143,189,85,104,110,86,24,92,77,15
2009,Utica/Rome,Technology Colleges,428,281,147,199,94,105,130,98,32,99,89,10
2008,Utica/Rome,Technology Colleges,419,273,146,197,92,105,118,94,24,104,87,17
2007,Utica/Rome,Technology Colleges,420,266,154,184,88,96,134,89,45,102,89,13
2006,Utica/Rome,Technology Colleges,378,269,109,167,93,74,110,87,23,101,89,12
2005,Utica/Rome,Technology Colleges,392,275,117,170,97,73,120,89,31,102,89,13
2003,Utica/Rome,Technology Colleges,403,270,133,178,98,80,138,95,43,87,77,10
2002,Utica/Rome,Technology Colleges,390,263,127,172,88,84,129,96,33,89,79,10
2001,Utica/Rome,Technology Colleges,383,264,119,176,92,84,115,87,28,92,85,7
2000,Utica/Rome,Technology Colleges,366,247,119,169,85,84,106,84,22,91,78,13
2020,Adirondack,Community Colleges,401,238,163,204,94,110,128,86,42,69,58,11
2019,Adirondack,Community Colleges,474,245,229,245,95,150,157,87,70,72,63,9
2018,Adirondack,Community Colleges,453,243,210,258,93,165,121,86,35,74,64,10
2017,Adirondack,Community Colleges,402,223,179,236,86,150,101,79,22,65,58,7
2016,Adirondack,Community Colleges,427,212,215,256,90,166,91,55,36,80,67,13
2015,Adirondack,Community Colleges,421,211,210,261,88,173,93,59,34,67,64,3
2014,Adirondack,Community Colleges,449,223,226,272,92,180,101,64,37,76,67,9
2013,Adirondack,Community Colleges,461,211,250,291,92,199,88,60,28,82,59,23
2012,Adirondack,Community Colleges,428,210,218,276,92,184,77,55,22,75,63,12
2011,Adirondack,Community Colleges,415,202,213,276,89,187,70,54,16,69,59,10
2010,Adirondack,Community Colleges,410,209,201,269,92,177,69,57,12,72,60,12
2009,Adirondack,Community Colleges,398,204,194,261,91,170,63,52,11,74,61,13
2008,Adirondack,Community Colleges,372,205,167,233,91,142,46,46,0,93,68,25
2007,Adirondack,Community Colleges,375,204,171,237,92,145,46,46,0,92,66,26
2006,Adirondack,Community Colleges,379,213,166,255,100,155,41,41,0,83,72,11
2005,Adirondack,Community Colleges,374,204,170,250,96,154,39,37,2,85,71,14
2003,Adirondack,Community Colleges,394,224,170,250,99,151,49,47,2,95,78,17
2002,Adirondack,Community Colleges,364,207,157,236,101,135,37,36,1,91,70,21
2001,Adirondack,Community Colleges,353,199,154,232,105,127,45,36,9,76,58,18
2000,Adirondack,Community Colleges,352,210,142,223,104,119,56,48,8,73,58,15
2020,Broome,Community Colleges,645,369,276,334,153,181,190,118,72,121,98,23
2019,Broome,Community Colleges,770,414,356,385,162,223,233,134,99,152,118,34
2018,Broome,Community Colleges,774,405,369,401,169,232,222,123,99,151,113,38
2017,Broome,Community Colleges,819,404,415,436,165,271,227,124,103,156,115,41
2016,Broome,Community Colleges,831,404,427,439,165,274,240,125,115,152,114,38
2015,Broome,Community Colleges,796,399,397,432,166,266,209,118,91,155,115,40
2014,Broome,Community Colleges,790,398,392,436,162,274,199,120,79,155,116,39
2013,Broome,Community Colleges,763,397,366,430,164,266,184,118,66,149,115,34
2012,Broome,Community Colleges,758,396,362,427,168,259,190,117,73,141,111,30
2011,Broome,Community Colleges,776,402,374,457,170,287,118,97,21,201,135,66
2010,Broome,Community Colleges,774,403,371,453,166,287,115,100,15,206,137,69
2009,Broome,Community Colleges,783,407,376,457,165,292,118,103,15,208,139,69
2008,Broome,Community Colleges,753,399,354,440,161,279,109,101,8,204,137,67
2007,Broome,Community Colleges,726,406,320,426,165,261,116,104,12,184,137,47
2006,Broome,Community Colleges,686,398,288,406,168,238,103,92,11,177,138,39
2005,Broome,Community Colleges,677,410,267,419,186,233,109,104,5,149,120,29
2003,Broome,Community Colleges,710,368,342,398,144,254,122,100,22,190,124,66
2002,Broome,Community Colleges,634,391,243,386,177,209,97,94,3,151,120,31
2001,Broome,Community Colleges,610,355,255,347,145,202,89,76,13,174,134,40
2000,Broome,Community Colleges,610,352,258,361,148,213,83,72,11,166,132,34
2020,Cayuga County,Community Colleges,324,154,170,148,43,105,115,71,44,61,40,21
2019,Cayuga County,Community Colleges,397,167,230,190,43,147,132,80,52,75,44,31
2018,Cayuga County,Community Colleges,402,171,231,183,43,140,133,81,52,86,47,39
2017,Cayuga County,Community Colleges,375,172,203,169,43,126,127,79,48,79,50,29
2016,Cayuga County,Community Colleges,362,161,201,172,42,130,118,74,44,72,45,27
2015,Cayuga County,Community Colleges,419,145,274,239,53,186,101,55,46,79,37,42
2014,Cayuga County,Community Colleges,441,168,273,236,50,186,119,73,46,86,45,41
2013,Cayuga County,Community Colleges,449,167,282,228,51,177,133,70,63,88,46,42
2012,Cayuga County,Community Colleges,469,184,285,257,55,202,104,85,19,108,44,64
2011,Cayuga County,Community Colleges,503,197,306,277,60,217,121,82,39,105,55,50
2010,Cayuga County,Community Colleges,523,189,334,262,59,203,143,77,66,118,53,65
2009,Cayuga County,Community Colleges,454,177,277,243,71,172,107,54,53,104,52,52
2008,Cayuga County,Community Colleges,413,169,244,215,72,143,102,50,52,96,47,49
2007,Cayuga County,Community Colleges,401,179,222,237,73,164,80,54,26,84,52,32
2006,Cayuga County,Community Colleges,438,170,268,221,71,150,113,49,64,104,50,54
2005,Cayuga County,Community Colleges,372,167,205,250,70,180,39,37,2,83,60,23
2003,Cayuga County,Community Colleges,375,175,200,250,77,173,62,48,14,63,50,13
2002,Cayuga County,Community Colleges,335,164,171,214,72,142,54,45,9,67,47,20
2001,Cayuga County,Community Colleges,312,163,149,194,74,120,56,44,12,62,45,17
2000,Cayuga County,Community Colleges,294,156,138,162,54,108,76,61,15,56,41,15
2020,Clinton,Community Colleges,125,79,46,73,33,40,34,31,3,18,15,3
2019,Clinton,Community Colleges,159,94,65,90,36,54,42,34,8,27,24,3
2018,Clinton,Community Colleges,169,104,65,93,39,54,48,40,8,28,25,3
2017,Clinton,Community Colleges,168,110,58,90,43,47,51,43,8,27,24,3
2016,Clinton,Community Colleges,179,108,71,100,42,58,50,41,9,29,25,4
2015,Clinton,Community Colleges,185,114,71,104,48,56,54,42,12,27,24,3
2014,Clinton,Community Colleges,211,122,89,116,50,66,63,47,16,32,25,7
2013,Clinton,Community Colleges,203,125,78,118,51,67,55,50,5,30,24,6
2012,Clinton,Community Colleges,231,133,98,146,57,89,53,51,2,32,25,7
2011,Clinton,Community Colleges,302,136,166,179,53,126,40,37,3,83,46,37
2010,Clinton,Community Colleges,253,145,108,133,53,80,41,38,3,79,54,25
2009,Clinton,Community Colleges,236,135,101,133,55,78,45,41,4,58,39,19
2008,Clinton,Community Colleges,236,129,107,128,52,76,49,41,8,59,36,23
2007,Clinton,Community Colleges,235,131,104,130,52,78,43,39,4,62,40,22
2006,Clinton,Community Colleges,239,133,106,131,53,78,48,40,8,60,40,20
2005,Clinton,Community Colleges,242,134,108,142,51,91,25,18,7,75,65,10
2003,Clinton,Community Colleges,253,128,125,154,51,103,50,41,9,49,36,13
2002,Clinton,Community Colleges,245,126,119,142,49,93,54,41,13,49,36,13
2001,Clinton,Community Colleges,221,115,106,124,44,80,50,36,14,47,35,12
2000,Clinton,Community Colleges,218,111,107,127,43,84,48,40,8,43,28,15
2020,Columbia-Greene,Community Colleges,173,119,54,61,41,20,71,54,17,41,24,17
2019,Columbia-Greene,Community Colleges,224,125,99,77,42,35,93,60,33,54,23,31
2018,Columbia-Greene,Community Colleges,217,124,93,79,41,38,86,56,30,52,27,25
2017,Columbia-Greene,Community Colleges,248,127,121,96,43,53,98,58,40,54,26,28
2016,Columbia-Greene,Community Colleges,241,134,107,89,44,45,97,63,34,55,27,28
2015,Columbia-Greene,Community Colleges,251,135,116,97,44,53,80,52,28,74,39,35
2014,Columbia-Greene,Community Colleges,276,142,134,117,47,70,84,53,31,75,42,33
2013,Columbia-Greene,Community Colleges,281,140,141,117,44,73,87,57,30,77,39,38
2012,Columbia-Greene,Community Colleges,287,144,143,119,45,74,88,58,30,80,41,39
2011,Columbia-Greene,Community Colleges,292,144,148,135,49,86,40,36,4,117,59,58
2010,Columbia-Greene,Community Colleges,278,143,135,127,49,78,39,36,3,112,58,54
2009,Columbia-Greene,Community Colleges,283,139,144,133,48,85,42,35,7,108,56,52
2008,Columbia-Greene,Community Colleges,277,138,139,130,45,85,41,35,6,106,58,48
2007,Columbia-Greene,Community Colleges,273,144,129,126,51,75,40,34,6,107,59,48
2006,Columbia-Greene,Community Colleges,254,139,115,118,46,72,37,34,3,99,59,40
2005,Columbia-Greene,Community Colleges,240,137,103,107,48,59,37,32,5,96,57,39
2003,Columbia-Greene,Community Colleges,240,140,100,109,48,61,67,63,4,64,29,35
2002,Columbia-Greene,Community Colleges,247,138,109,115,47,68,50,42,8,82,49,33
2001,Columbia-Greene,Community Colleges,192,132,60,86,47,39,34,34,0,72,51,21
2000,Columbia-Greene,Community Colleges,229,139,90,106,47,59,71,69,2,52,23,29
2020,Corning,Community Colleges,307,185,122,169,69,100,75,62,13,63,54,9
2019,Corning,Community Colleges,368,201,167,200,83,117,81,65,16,87,53,34
2018,Corning,Community Colleges,374,209,165,183,81,102,80,70,10,111,58,53
2017,Corning,Community Colleges,384,194,190,217,82,135,55,47,8,112,65,47
2016,Corning,Community Colleges,418,225,193,220,84,136,93,72,21,105,69,36
2015,Corning,Community Colleges,456,258,198,229,89,140,107,84,23,120,85,35
2014,Corning,Community Colleges,489,272,217,246,87,159,83,83,0,160,102,58
2013,Corning,Community Colleges,529,276,253,236,89,147,62,62,0,231,125,106
2012,Corning,Community Colleges,539,287,252,269,92,177,106,105,1,164,90,74
2011,Corning,Community Colleges,563,312,251,253,99,154,97,86,11,213,127,86
2010,Corning,Community Colleges,560,308,252,261,99,162,94,83,11,205,126,79
2009,Corning,Community Colleges,554,302,252,264,97,167,140,130,10,150,75,75
2008,Corning,Community Colleges,485,289,196,216,93,123,155,124,31,114,72,42
2007,Corning,Community Colleges,511,316,195,218,102,116,168,132,36,125,82,43
2006,Corning,Community Colleges,478,298,180,208,101,107,153,120,33,117,77,40
2005,Corning,Community Colleges,499,306,193,229,98,131,152,131,21,118,77,41
2003,Corning,Community Colleges,496,300,196,229,95,134,151,134,17,116,71,45
2002,Corning,Community Colleges,442,267,175,233,99,134,70,65,5,139,103,36
2001,Corning,Community Colleges,449,319,130,186,111,75,140,117,23,123,91,32
2000,Corning,Community Colleges,483,329,154,204,107,97,155,129,26,124,93,31
2020,Dutchess,Community Colleges,692,302,390,377,107,270,197,115,82,118,80,38
2019,Dutchess,Community Colleges,807,351,456,452,125,327,217,124,93,138,102,36
2018,Dutchess,Community Colleges,845,360,485,458,127,331,244,130,114,143,103,40
2017,Dutchess,Community Colleges,895,353,542,534,128,406,215,118,97,146,107,39
2016,Dutchess,Community Colleges,914,358,556,554,128,426,212,122,90,148,108,40
2015,Dutchess,Community Colleges,926,342,584,590,127,463,190,111,79,146,104,42
2014,Dutchess,Community Colleges,945,330,615,604,125,479,187,104,83,154,101,53
2013,Dutchess,Community Colleges,966,337,629,623,128,495,190,107,83,153,102,51
2012,Dutchess,Community Colleges,956,339,617,570,128,442,225,114,111,161,97,64
2011,Dutchess,Community Colleges,833,351,482,491,135,356,105,68,37,237,148,89
2010,Dutchess,Community Colleges,840,351,489,491,131,360,109,71,38,240,149,91
2009,Dutchess,Community Colleges,798,349,449,449,128,321,115,71,44,234,150,84
2008,Dutchess,Community Colleges,758,353,405,411,131,280,117,69,48,230,153,77
2007,Dutchess,Community Colleges,753,361,392,417,135,282,111,73,38,225,153,72
2006,Dutchess,Community Colleges,720,345,375,429,137,292,83,74,9,208,134,74
2005,Dutchess,Community Colleges,734,338,396,451,135,316,78,69,9,205,134,71
2003,Dutchess,Community Colleges,716,332,384,428,128,300,80,70,10,208,134,74
2002,Dutchess,Community Colleges,704,332,372,416,124,292,89,68,21,199,140,59
2001,Dutchess,Community Colleges,735,323,412,396,119,277,132,65,67,207,139,68
2000,Dutchess,Community Colleges,701,325,376,415,115,300,82,72,10,204,138,66
2020,Erie,Community Colleges,"1,718",700,"1,018",825,265,560,459,271,188,434,164,270
2019,Erie,Community Colleges,"1,875",766,"1,109",880,287,593,507,309,198,488,170,318
2018,Erie,Community Colleges,"1,887",782,"1,105",891,284,607,555,274,281,441,224,217
2017,Erie,Community Colleges,"1,708",647,"1,061",724,296,428,493,184,309,491,167,324
2016,Erie,Community Colleges,"1,717",736,981,910,298,612,324,213,111,483,225,258
2015,Erie,Community Colleges,"1,807",784,"1,023",939,324,615,355,226,129,513,234,279
2014,Erie,Community Colleges,"1,663",778,885,828,326,502,336,232,104,499,220,279
2013,Erie,Community Colleges,"1,681",765,916,848,324,524,350,223,127,483,218,265
2012,Erie,Community Colleges,"1,705",757,948,878,323,555,344,218,126,483,216,267
2011,Erie,Community Colleges,"1,747",763,984,946,327,619,270,192,78,531,244,287
2010,Erie,Community Colleges,"2,439",788,"1,651","1,563",354,"1,209",266,159,107,610,275,335
2009,Erie,Community Colleges,"2,348",809,"1,539","1,478",370,"1,108",258,161,97,612,278,334
2008,Erie,Community Colleges,"2,395",821,"1,574","1,519",366,"1,153",278,176,102,598,279,319
2007,Erie,Community Colleges,"2,243",794,"1,449","1,443",362,"1,081",232,161,71,568,271,297
2006,Erie,Community Colleges,"2,161",792,"1,369","1,309",354,955,296,164,132,556,274,282
2005,Erie,Community Colleges,"1,968",802,"1,166","1,191",369,822,206,161,45,571,272,299
2003,Erie,Community Colleges,"2,053",746,"1,307","1,112",352,760,200,152,48,741,242,499
2002,Erie,Community Colleges,"1,411",804,607,707,351,356,272,230,42,432,223,209
2001,Erie,Community Colleges,"1,417",752,665,756,336,420,238,195,43,423,221,202
2000,Erie,Community Colleges,"1,442",767,675,805,365,440,226,179,47,411,223,188
2020,Fashion Institute of Technology,Community Colleges,"1,652",816,836,914,212,702,442,355,87,296,249,47
2019,Fashion Institute of Technology,Community Colleges,"1,730",859,871,944,226,718,463,362,101,323,271,52
2018,Fashion Institute of Technology,Community Colleges,"1,760",855,905,"1,011",234,777,392,319,73,357,302,55
2017,Fashion Institute of Technology,Community Colleges,"1,752",817,935,"1,028",226,802,385,310,75,339,281,58
2016,Fashion Institute of Technology,Community Colleges,"1,820",797,"1,023","1,116",232,884,391,311,80,313,254,59
2015,Fashion Institute of Technology,Community Colleges,"1,659",778,881,967,229,738,369,289,80,323,260,63
2014,Fashion Institute of Technology,Community Colleges,"1,673",785,888,970,232,738,369,287,82,334,266,68
2013,Fashion Institute of Technology,Community Colleges,"1,625",769,856,944,240,704,361,281,80,320,248,72
2012,Fashion Institute of Technology,Community Colleges,"1,667",776,891,943,236,707,387,295,92,337,245,92
2011,Fashion Institute of Technology,Community Colleges,"1,676",764,912,977,239,738,231,189,42,468,336,132
2010,Fashion Institute of Technology,Community Colleges,"1,716",758,958,"1,016",249,767,230,189,41,470,320,150
2009,Fashion Institute of Technology,Community Colleges,"1,712",761,951,"1,007",253,754,233,190,43,472,318,154
2008,Fashion Institute of Technology,Community Colleges,"1,666",740,926,989,244,745,233,187,46,444,309,135
2007,Fashion Institute of Technology,Community Colleges,"1,578",723,855,929,235,694,350,295,55,299,193,106
2006,Fashion Institute of Technology,Community Colleges,"1,562",695,867,908,208,700,333,277,56,321,210,111
2005,Fashion Institute of Technology,Community Colleges,"1,554",682,872,939,220,719,307,271,36,302,191,117
2003,Fashion Institute of Technology,Community Colleges,"1,555",651,904,967,209,758,286,253,33,302,189,113
2002,Fashion Institute of Technology,Community Colleges,"1,562",638,924,966,208,758,283,241,42,313,189,124
2001,Fashion Institute of Technology,Community Colleges,"1,526",636,890,928,211,717,269,226,43,329,199,130
2000,Fashion Institute of Technology,Community Colleges,"1,459",586,873,898,189,709,244,204,40,317,193,124
2020,Finger Lakes,Community Colleges,476,296,180,230,107,123,169,122,47,77,67,10
2019,Finger Lakes,Community Colleges,567,327,240,286,113,173,190,133,57,91,81,10
2018,Finger Lakes,Community Colleges,592,333,259,306,114,192,194,135,59,92,84,8
2017,Finger Lakes,Community Colleges,561,322,239,311,117,194,162,125,37,88,80,8
2016,Finger Lakes,Community Colleges,546,322,224,313,117,196,145,124,21,88,81,7
2015,Finger Lakes,Community Colleges,579,330,249,341,119,222,144,123,21,94,88,6
2014,Finger Lakes,Community Colleges,610,320,290,379,116,263,139,120,19,92,84,8
2013,Finger Lakes,Community Colleges,628,316,312,398,116,282,135,114,21,95,86,9
2012,Finger Lakes,Community Colleges,616,319,297,383,118,265,136,113,23,97,88,9
2011,Finger Lakes,Community Colleges,622,320,302,402,120,282,76,73,3,144,127,17
2010,Finger Lakes,Community Colleges,583,318,265,366,121,245,72,69,3,145,128,17
2009,Finger Lakes,Community Colleges,551,301,250,342,112,230,74,70,4,135,119,16
2008,Finger Lakes,Community Colleges,524,298,226,313,112,201,74,67,7,137,119,18
2007,Finger Lakes,Community Colleges,496,282,214,300,112,188,69,63,6,127,107,20
2006,Finger Lakes,Community Colleges,472,278,194,280,109,171,66,61,5,126,108,18
2005,Finger Lakes,Community Colleges,476,280,196,280,108,172,68,61,7,128,111,17
2003,Finger Lakes,Community Colleges,470,277,193,273,105,168,66,59,7,131,113,18
2002,Finger Lakes,Community Colleges,466,278,188,268,105,163,67,60,7,131,113,18
2001,Finger Lakes,Community Colleges,452,278,174,255,107,148,66,59,7,131,112,19
2000,Finger Lakes,Community Colleges,449,270,179,258,105,153,61,54,7,130,111,19
2020,Fulton-Montgomery,Community Colleges,173,107,66,73,37,36,65,39,26,35,31,4
2019,Fulton-Montgomery,Community Colleges,272,127,145,111,40,71,119,45,74,42,42,0
2018,Fulton-Montgomery,Community Colleges,269,150,119,103,48,55,121,57,64,45,45,0
2017,Fulton-Montgomery,Community Colleges,285,156,129,111,52,59,127,57,70,47,47,0
2016,Fulton-Montgomery,Community Colleges,286,157,129,118,54,64,124,59,65,44,44,0
2015,Fulton-Montgomery,Community Colleges,292,159,133,120,54,66,122,55,67,50,50,0
2014,Fulton-Montgomery,Community Colleges,359,161,198,128,57,71,181,54,127,50,50,0
2013,Fulton-Montgomery,Community Colleges,351,166,185,135,58,77,163,57,106,53,51,2
2012,Fulton-Montgomery,Community Colleges,324,156,168,135,54,81,138,53,85,51,49,2
2011,Fulton-Montgomery,Community Colleges,331,163,168,193,59,134,69,47,22,69,57,12
2010,Fulton-Montgomery,Community Colleges,305,154,151,168,55,113,78,50,28,59,49,10
2009,Fulton-Montgomery,Community Colleges,280,155,125,146,57,89,73,47,26,61,51,10
2008,Fulton-Montgomery,Community Colleges,254,152,102,122,56,66,73,49,24,59,47,12
2007,Fulton-Montgomery,Community Colleges,251,148,103,120,54,66,70,45,25,61,49,12
2006,Fulton-Montgomery,Community Colleges,242,147,95,121,52,69,64,48,16,57,47,10
2005,Fulton-Montgomery,Community Colleges,232,158,74,112,53,59,58,51,7,62,54,8
2003,Fulton-Montgomery,Community Colleges,258,150,108,106,46,60,90,48,42,62,56,6
2002,Fulton-Montgomery,Community Colleges,226,143,83,121,46,75,45,45,0,60,52,8
2001,Fulton-Montgomery,Community Colleges,218,146,72,112,50,62,45,44,1,61,52,9
2000,Fulton-Montgomery,Community Colleges,210,140,70,116,46,70,45,45,0,49,49,0
2020,Genesee,Community Colleges,418,256,162,196,81,115,149,116,33,73,59,14
2019,Genesee,Community Colleges,564,294,270,252,86,166,206,130,76,106,78,28
2018,Genesee,Community Colleges,591,293,298,265,83,182,217,128,89,109,82,27
2017,Genesee,Community Colleges,601,293,308,286,86,200,201,123,78,114,84,30
2016,Genesee,Community Colleges,631,300,331,309,89,220,211,127,84,111,84,27
2015,Genesee,Community Colleges,676,297,379,347,89,258,213,122,91,116,86,30
2014,Genesee,Community Colleges,679,295,384,348,90,258,214,118,96,117,87,30
2013,Genesee,Community Colleges,680,305,375,350,91,259,210,123,87,120,91,29
2012,Genesee,Community Colleges,694,305,389,368,87,281,205,126,79,121,92,29
2011,Genesee,Community Colleges,715,307,408,375,83,292,186,129,57,154,95,59
2010,Genesee,Community Colleges,699,299,400,366,82,284,173,124,49,160,93,67
2009,Genesee,Community Colleges,660,291,369,342,82,260,168,119,49,150,90,60
2008,Genesee,Community Colleges,652,289,363,343,81,262,162,117,45,147,91,56
2007,Genesee,Community Colleges,611,261,350,329,77,252,139,98,41,143,86,57
2006,Genesee,Community Colleges,592,256,336,316,76,240,139,96,43,137,84,53
2005,Genesee,Community Colleges,595,252,343,311,70,241,131,96,35,153,86,67
2003,Genesee,Community Colleges,556,254,302,278,69,209,138,101,37,140,84,56
2002,Genesee,Community Colleges,574,245,329,325,68,257,130,92,38,119,85,34
2001,Genesee,Community Colleges,559,248,311,288,67,221,105,79,26,166,102,64
2000,Genesee,Community Colleges,505,241,264,216,67,149,123,70,53,166,104,62
2020,Herkimer County,Community Colleges,254,161,93,107,48,59,68,41,27,79,72,7
2019,Herkimer County,Community Colleges,276,167,109,110,49,61,78,43,35,88,75,13
2018,Herkimer County,Community Colleges,291,175,116,119,54,65,89,51,38,83,70,13
2017,Herkimer County,Community Colleges,297,178,119,125,59,66,83,48,35,89,71,18
2016,Herkimer County,Community Colleges,320,186,134,128,63,65,101,50,51,91,73,18
2015,Herkimer County,Community Colleges,315,191,124,135,64,71,85,54,31,95,73,22
2014,Herkimer County,Community Colleges,334,203,131,163,68,95,78,78,0,93,57,36
2013,Herkimer County,Community Colleges,320,189,131,154,66,88,84,55,29,82,68,14
2012,Herkimer County,Community Colleges,344,189,155,164,69,95,62,56,6,118,64,54
2011,Herkimer County,Community Colleges,370,226,144,169,73,96,95,74,21,106,79,27
2010,Herkimer County,Community Colleges,338,233,105,131,75,56,93,72,21,114,86,28
